fichier,taille_mo,duree_s,titre_metadata,statut,raison,priorite
Leçon 29 PART 1 ZN le marchés que je recommande.mp4,351.17,989.43,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Leçon 29 Partie 2  ZN le marchés que je recommande .mp4,150.07,543.46,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 34 - Part 2.mov',
Leçon 29 Partie 3  ZN le marchés que je recommande.mp4,101.0,488.52,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 25 - Part 2.mov',
Leçon 29 Partie 4  ZN le marchés que je recommande.mp4,82.16,335.16,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 12 - part 4.mov',
Leçon 30  Les devises au carnet.mp4,266.09,992.37,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Leçon 29 PART 1 ZN le marchés que je recommande.mp4',
Leçon 4 De l’Analyse Graphique d’un marché .mp4,132.24,1036.31,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
Leçon 5  Des Niveaux de Fibonacci .mp4,190.09,975.17,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Leçon 18  Le point de Contrôle -Nouvelle Vidéo-.mp4',
Leçon 7 _Les_3_Signaux_Belkhayate_Squeeze_Impulsion_et_Ressort_sur.mp4,84.37,1551.16,,A_TRANSCRIRE,"francais confirme, aucun mot-cle trading",37
Leçon 9  Sur la Puissance des Couloirs .mp4,196.72,1169.19,,DOUBLON_INTERNE,meme duree (+/-5s) que '8-Episode 1 mp4.mp4',
Leçon21 La_Zone_d’Absorption_et_Installation_de_la_Template_Belkhayate.mp4,99.46,752.16,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Leçon 25  Plan B et Humilité du Trader PART 2.mp4',
Leçon_21_La_Zone_d’Absorption_et_Installation_de_la_Template_Belkhayatee.mp4,168.28,1097.49,,A_TRANSCRIRE,"francais confirme, aucun mot-cle trading",22
Leçon_23_Supports_et_Résistances_du_Carnet_Nouvelle_Vidéo.mp4,180.91,876.65,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Leçon 1  Du Métier de Trader.mp4',
OFTC Lesson 1 - Introduction To Order Flow.mp4,86.51,,,HORS_PERIMETRE,exclusion nom: 'oftc',
OFTC Lesson 10 - The Importance Of Delta.mp4,116.8,,,HORS_PERIMETRE,exclusion nom: 'oftc',
OFTC Lesson 11 - Order Flow Price Rejection.mp4,121.92,,,HORS_PERIMETRE,exclusion nom: 'oftc',
OFTC Lesson 12 - Order Flow Support And Resistance Levels.mp4,116.83,,,HORS_PERIMETRE,exclusion nom: 'oftc',
OFTC Lesson 13 - Understanding Order Flow Fair Prices & Absorption.mp4,146.45,,,HORS_PERIMETRE,exclusion nom: 'oftc',
OFTC Lesson 14 - Reading The Market With Order Flow.mp4,185.4,,,HORS_PERIMETRE,exclusion nom: 'oftc',
OFTC Lesson 15 - Order Flow Trade Setups.mp4,79.61,,,HORS_PERIMETRE,exclusion nom: 'oftc',
OFTC Lesson 16 - Order Flow Reversal Setups.mp4,98.79,,,HORS_PERIMETRE,exclusion nom: 'oftc',
OFTC Lesson 17 - Order Flow Continuation Setups.mp4,27.22,,,HORS_PERIMETRE,exclusion nom: 'oftc',
OFTC Lesson 18 - Integrating Order Flow With Traditional Technical Analysis.mp4,103.47,,,HORS_PERIMETRE,exclusion nom: 'oftc',
OFTC Lesson 19 Part A- Test Yourself & Practice Charts.mp4,462.13,,,HORS_PERIMETRE,exclusion nom: 'oftc',
OFTC Lesson 19 Part B- Test Yourself & Practice Charts.mp4,11.29,,,HORS_PERIMETRE,exclusion nom: 'oftc',
OFTC Lesson 2 - Order Flow Software & Data Feeds.mp4,46.29,,,HORS_PERIMETRE,exclusion nom: 'oftc',
OFTC Lesson 20 - Conclusion.mp4,48.76,,,HORS_PERIMETRE,exclusion nom: 'oftc',
OFTC Lesson 3 - How To Read Order Flow Charts.mp4,44.69,,,HORS_PERIMETRE,exclusion nom: 'oftc',
OFTC Lesson 4 - Order Flow Terms.mp4,84.18,,,HORS_PERIMETRE,exclusion nom: 'oftc',
OFTC Lesson 5 - Who Are The Market Participants.mp4,41.15,,,HORS_PERIMETRE,exclusion nom: 'oftc',
OFTC Lesson 6 - Different Types Of Trading Happening In The Market.mp4,74.32,,,HORS_PERIMETRE,exclusion nom: 'oftc',
OFTC Lesson 7 - Best Markets To Trade Order Flow.mp4,26.06,,,HORS_PERIMETRE,exclusion nom: 'oftc',
OFTC Lesson 8 - Understanding Market Imbalance.mp4,51.09,,,HORS_PERIMETRE,exclusion nom: 'oftc',
OFTC Lesson 9 - Why The Point Of Control Is Significant.mp4,41.67,,,HORS_PERIMETRE,exclusion nom: 'oftc',
V-7.mp4,67.75,1500.08,,DOUBLON_INTERNE,meme duree (+/-5s) que '7.mp4',
V10.mp4,38.39,698.08,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Lecon 16 - part 2.mov',
V13.mp4,15.04,475.59,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
V15.mp4,21.42,634.55,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
V16.mp4,29.53,882.75,,DOUBLON_INTERNE,meme duree (+/-5s) que '11.mp4',
V17.mp4,28.93,642.59,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
V18.mp4,57.65,1157.24,,FAIBLE_INTERET,"francais confirme, aucun mot-cle trading",
V20.mp4,59.12,1225.02,,DOUBLON_INTERNE,meme duree (+/-5s) que '14.mp4',
V22.mp4,42.89,1054.14,,DOUBLON_INTERNE,meme duree (+/-5s) que '11-Episode m4v.mp4',
V23.mp4,44.85,1178.13,,DOUBLON_INTERNE,meme duree (+/-5s) que '12 Episode mp4.mp4',
V27.mp4,59.41,1336.15,,DOUBLON_INTERNE,meme duree (+/-5s) que '15.mp4',
V29.mp4,64.82,1553.14,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Leçon 7 _Les_3_Signaux_Belkhayate_Squeeze_Impulsion_et_Ressort_sur.mp4',
V30.mp4,59.65,1490.14,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Leçon 27  Analyse des marchés PART 3.mp4',
V31.mp4,40.92,832.13,,DOUBLON_INTERNE,meme duree (+/-5s) que 'Leçon 28 PART 3  Evolution Probable des marchés 2023 2025.mp4',
